epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,987.754,0.42514,0.50044,0.96746,0.95253,0.95038,0.98747,0.91666,0.37022,0.35158,0.89703,0.000882875,0.000882875,0.000882875
91,997.957,0.42835,0.52309,0.97829,0.86663,0.86792,0.96526,0.91015,0.34665,0.56145,0.87206,0.00087875,0.00087875,0.00087875
92,1010.13,0.40584,0.45808,0.9695,0.98018,0.92468,0.98223,0.92465,0.34174,0.36856,0.86131,0.000874625,0.000874625,0.000874625
93,1019.55,0.41646,0.45779,0.98189,0.92504,0.93854,0.98164,0.92433,0.35573,0.38613,0.87572,0.0008705,0.0008705,0.0008705
94,1031.05,0.42399,0.48009,0.96243,0.92252,0.89369,0.94743,0.88936,0.376,0.46834,0.88954,0.000866375,0.000866375,0.000866375
95,1043.12,0.39577,0.4356,0.96205,0.92089,0.96392,0.97925,0.93525,0.35478,0.3853,0.88427,0.00086225,0.00086225,0.00086225
96,1052.21,0.41721,0.44666,0.97147,0.9439,0.95779,0.97953,0.93086,0.33813,0.36788,0.85839,0.000858125,0.000858125,0.000858125
97,1064.34,0.40824,0.47382,0.96712,0.95407,0.96845,0.98602,0.93258,0.33355,0.33273,0.85801,0.000854,0.000854,0.000854
98,1075.15,0.40534,0.4567,0.98037,0.95276,0.95892,0.97537,0.91595,0.33866,0.3675,0.86922,0.000849875,0.000849875,0.000849875
99,1085.3,0.40875,0.48756,0.96555,0.94741,0.92744,0.97724,0.92011,0.34206,0.35899,0.87052,0.00084575,0.00084575,0.00084575
100,1097.01,0.40086,0.42431,0.96412,0.96811,0.95622,0.98817,0.93711,0.32872,0.30595,0.85867,0.000841625,0.000841625,0.000841625
101,1106.45,0.38358,0.42316,0.95812,0.95522,0.96696,0.98671,0.92695,0.3426,0.34618,0.85968,0.0008375,0.0008375,0.0008375
102,1117.45,0.41818,0.42978,0.972,0.96844,0.95446,0.98724,0.9332,0.33635,0.32258,0.86207,0.000833375,0.000833375,0.000833375
103,1129.41,0.42488,0.44579,0.9632,0.95316,0.93539,0.99024,0.93565,0.34284,0.3421,0.86226,0.00082925,0.00082925,0.00082925
104,1138.34,0.38824,0.39487,0.94834,0.95201,0.93569,0.98594,0.9297,0.3499,0.33502,0.87548,0.000825125,0.000825125,0.000825125
105,1150.44,0.41096,0.44544,0.97257,0.99098,0.96834,0.9898,0.93518,0.34374,0.28451,0.86425,0.000821,0.000821,0.000821
106,1161.72,0.38494,0.42275,0.94782,0.97248,0.97925,0.99404,0.93412,0.35176,0.27855,0.86525,0.000816875,0.000816875,0.000816875
107,1171.12,0.41109,0.45112,0.96012,0.98388,0.9548,0.99272,0.94313,0.32906,0.33367,0.86011,0.00081275,0.00081275,0.00081275
108,1182.99,0.41211,0.42107,0.96389,0.97433,0.9152,0.96284,0.89797,0.38242,0.38219,0.90434,0.000808625,0.000808625,0.000808625
109,1192.75,0.40907,0.44343,0.97785,0.97124,0.96853,0.97942,0.9214,0.36496,0.32185,0.89503,0.0008045,0.0008045,0.0008045
110,1203.78,0.40609,0.45755,0.95563,0.96841,0.97769,0.98268,0.92783,0.35106,0.30806,0.87612,0.000800375,0.000800375,0.000800375
111,1215.89,0.39014,0.42494,0.94887,0.97789,0.95682,0.98573,0.93562,0.34135,0.30554,0.87522,0.00079625,0.00079625,0.00079625
112,1225.06,0.3961,0.41099,0.95475,0.98046,0.96686,0.99107,0.93659,0.33823,0.29163,0.86959,0.000792125,0.000792125,0.000792125
113,1236.4,0.40916,0.39477,0.9753,0.96083,0.97643,0.99066,0.9426,0.33491,0.33169,0.85958,0.000788,0.000788,0.000788
114,1248.25,0.39588,0.42057,0.95295,0.96971,0.96757,0.99258,0.93203,0.34341,0.31248,0.86776,0.000783875,0.000783875,0.000783875
115,1257.68,0.40633,0.43838,0.95717,0.93401,0.93765,0.98612,0.93801,0.33814,0.33239,0.86413,0.00077975,0.00077975,0.00077975
116,1270.13,0.39155,0.40721,0.95878,0.98782,0.96921,0.99378,0.94572,0.32556,0.29557,0.85899,0.000775625,0.000775625,0.000775625
117,1281.13,0.39524,0.43332,0.95557,0.95562,0.96022,0.98482,0.93358,0.32583,0.32855,0.85224,0.0007715,0.0007715,0.0007715
118,1291.21,0.4019,0.42992,0.97063,0.9566,0.96744,0.98844,0.94826,0.31914,0.31407,0.84529,0.000767375,0.000767375,0.000767375
119,1303.21,0.39068,0.431,0.96522,0.97589,0.96327,0.99126,0.94864,0.33984,0.32242,0.86794,0.00076325,0.00076325,0.00076325
120,1313.61,0.37426,0.36687,0.93908,0.9553,0.95211,0.99135,0.9465,0.31336,0.32078,0.86141,0.000759125,0.000759125,0.000759125
121,1323.99,0.41053,0.42765,0.95936,0.99088,0.97213,0.99388,0.94967,0.33745,0.27383,0.88233,0.000755,0.000755,0.000755
122,1335.87,0.38402,0.43152,0.95251,0.97619,0.98576,0.99475,0.93984,0.32817,0.25925,0.87356,0.000750875,0.000750875,0.000750875
123,1345.71,0.37795,0.37968,0.94876,0.99071,0.97759,0.99437,0.94907,0.32389,0.25966,0.86597,0.00074675,0.00074675,0.00074675
124,1356.7,0.38117,0.39518,0.95064,0.96632,0.96441,0.99198,0.94502,0.3229,0.29674,0.86575,0.000742625,0.000742625,0.000742625
125,1369.3,0.38468,0.39367,0.94681,0.96963,0.98,0.98866,0.95339,0.31023,0.29158,0.84689,0.0007385,0.0007385,0.0007385
126,1378.7,0.4048,0.45611,0.96915,0.975,0.9514,0.97741,0.94254,0.3126,0.30831,0.8494,0.000734375,0.000734375,0.000734375
127,1390.64,0.3784,0.40632,0.94011,0.96136,0.93965,0.97443,0.93415,0.31749,0.35933,0.86319,0.00073025,0.00073025,0.00073025
128,1403,0.3628,0.37163,0.93969,0.96063,0.95045,0.98662,0.94749,0.30444,0.33861,0.84877,0.000726125,0.000726125,0.000726125
129,1412.44,0.38081,0.4061,0.95662,0.97495,0.96222,0.99156,0.95197,0.31505,0.30635,0.8503,0.000722,0.000722,0.000722
130,1424.58,0.37225,0.3987,0.95376,0.93147,0.95332,0.98074,0.93935,0.33227,0.35319,0.86929,0.000717875,0.000717875,0.000717875
131,1436.15,0.38254,0.44018,0.95485,0.94437,0.95447,0.97966,0.93474,0.33507,0.31105,0.86677,0.00071375,0.00071375,0.00071375
132,1446.05,0.37815,0.38202,0.9489,0.95044,0.92654,0.97997,0.93449,0.3328,0.32826,0.85906,0.000709625,0.000709625,0.000709625
133,1458.74,0.39615,0.41032,0.96143,0.95543,0.98205,0.9901,0.93632,0.34596,0.31658,0.86577,0.0007055,0.0007055,0.0007055
134,1470.21,0.38751,0.41846,0.95572,0.97331,0.97968,0.98935,0.92999,0.35043,0.30874,0.89071,0.000701375,0.000701375,0.000701375
135,1479.99,0.38126,0.38664,0.96343,0.96365,0.98896,0.99277,0.9538,0.30396,0.24925,0.84383,0.00069725,0.00069725,0.00069725
136,1492.44,0.36692,0.38678,0.95952,0.97078,0.97824,0.98844,0.9412,0.32191,0.26965,0.85512,0.000693125,0.000693125,0.000693125
137,1503.09,0.38205,0.37763,0.94035,0.98326,0.97228,0.99215,0.95346,0.30544,0.26109,0.84812,0.000689,0.000689,0.000689
138,1513.67,0.37711,0.41679,0.95119,0.98088,0.96292,0.98477,0.94201,0.31651,0.27987,0.86461,0.000684875,0.000684875,0.000684875
139,1525.82,0.37575,0.44132,0.95944,0.95716,0.98187,0.98713,0.94199,0.30733,0.25754,0.85085,0.00068075,0.00068075,0.00068075
140,1536.17,0.37039,0.37765,0.94308,0.9762,0.95915,0.99261,0.94527,0.29466,0.27043,0.83262,0.000676625,0.000676625,0.000676625
141,1546.84,0.37735,0.3986,0.94451,0.98004,0.96575,0.9903,0.95051,0.32177,0.26277,0.84123,0.0006725,0.0006725,0.0006725
142,1559.33,0.37728,0.37659,0.9479,0.97453,0.96376,0.99279,0.94682,0.32161,0.28709,0.85421,0.000668375,0.000668375,0.000668375
143,1568.48,0.37864,0.40066,0.94511,0.96235,0.96499,0.9879,0.92822,0.32546,0.29017,0.85548,0.00066425,0.00066425,0.00066425
144,1580.11,0.3805,0.39032,0.94998,0.90126,0.95918,0.98623,0.93761,0.31359,0.40645,0.85474,0.000660125,0.000660125,0.000660125
145,1591.89,0.37637,0.39734,0.96533,0.97504,0.98046,0.99027,0.93983,0.3135,0.25161,0.84818,0.000656,0.000656,0.000656
146,1601.33,0.37781,0.38804,0.94989,0.97376,0.97174,0.98678,0.94078,0.32106,0.27059,0.85406,0.000651875,0.000651875,0.000651875
147,1612.99,0.36521,0.38225,0.93468,0.95473,0.94091,0.97348,0.92393,0.31143,0.32532,0.86753,0.00064775,0.00064775,0.00064775
148,1623.49,0.3716,0.37982,0.94852,0.96168,0.94111,0.97343,0.92893,0.32287,0.37405,0.8722,0.000643625,0.000643625,0.000643625
149,1634.43,0.37189,0.38192,0.94339,0.95473,0.97449,0.97346,0.9237,0.32415,0.28797,0.86204,0.0006395,0.0006395,0.0006395
150,1647.07,0.35407,0.36165,0.94144,0.96907,0.9488,0.98402,0.93633,0.3047,0.27235,0.84759,0.000635375,0.000635375,0.000635375
151,1656.72,0.38124,0.40855,0.96552,0.96837,0.96837,0.9914,0.9471,0.29495,0.28136,0.84193,0.00063125,0.00063125,0.00063125
152,1668.28,0.37746,0.42366,0.95008,0.97293,0.94698,0.97,0.93281,0.31507,0.31412,0.85868,0.000627125,0.000627125,0.000627125
153,1680.75,0.3642,0.34383,0.94602,0.96822,0.97363,0.97914,0.93601,0.29848,0.27199,0.84463,0.000623,0.000623,0.000623
154,1690.22,0.3724,0.38682,0.95314,0.9621,0.98612,0.99043,0.945,0.31065,0.25954,0.84404,0.000618875,0.000618875,0.000618875
155,1702.32,0.37128,0.35713,0.94557,0.9698,0.97383,0.99001,0.95197,0.30318,0.28007,0.84533,0.00061475,0.00061475,0.00061475
156,1713.8,0.38947,0.35576,0.96,0.98191,0.97967,0.99121,0.95113,0.29729,0.25487,0.84166,0.000610625,0.000610625,0.000610625
157,1723.26,0.36128,0.35005,0.94793,0.97511,0.98798,0.99297,0.96113,0.30647,0.26766,0.85152,0.0006065,0.0006065,0.0006065
158,1735.4,0.35672,0.35922,0.94581,0.96032,0.97507,0.99203,0.95476,0.2958,0.28528,0.84525,0.000602375,0.000602375,0.000602375
159,1746.13,0.35405,0.35177,0.93199,0.97603,0.97327,0.98848,0.95206,0.30124,0.26135,0.84214,0.00059825,0.00059825,0.00059825
160,1756.56,0.35833,0.35291,0.93654,0.96058,0.97692,0.98466,0.93628,0.30927,0.28552,0.85027,0.000594125,0.000594125,0.000594125
161,1768.97,0.35833,0.34112,0.93322,0.95472,0.97556,0.9866,0.95011,0.30078,0.25974,0.84746,0.00059,0.00059,0.00059
162,1778.72,0.35731,0.37603,0.94634,0.96054,0.95878,0.9825,0.94457,0.31092,0.25867,0.86274,0.000585875,0.000585875,0.000585875
163,1789.9,0.36217,0.34571,0.94224,0.98656,0.9643,0.98797,0.95134,0.30657,0.25049,0.8519,0.00058175,0.00058175,0.00058175
164,1802.17,0.35984,0.35225,0.93276,0.98916,0.97109,0.99425,0.95139,0.30371,0.24191,0.8419,0.000577625,0.000577625,0.000577625
165,1811.55,0.35752,0.36504,0.93305,0.97769,0.97259,0.99189,0.94801,0.30179,0.25201,0.84984,0.0005735,0.0005735,0.0005735
166,1823.82,0.36526,0.34309,0.95159,0.96398,0.9885,0.99219,0.95001,0.31061,0.27349,0.85596,0.000569375,0.000569375,0.000569375
167,1835.36,0.35262,0.36177,0.92757,0.94688,0.97971,0.98798,0.94951,0.31038,0.2631,0.85649,0.00056525,0.00056525,0.00056525
168,1845.07,0.3662,0.36297,0.93916,0.95104,0.97765,0.98742,0.94844,0.29815,0.24552,0.84463,0.000561125,0.000561125,0.000561125
169,1857.45,0.34234,0.32321,0.92269,0.95481,0.95558,0.98084,0.94077,0.30683,0.26937,0.84648,0.000557,0.000557,0.000557
170,1868.34,0.35005,0.35277,0.9332,0.97209,0.95689,0.98378,0.94461,0.29975,0.26442,0.84663,0.000552875,0.000552875,0.000552875
171,1878.63,0.36007,0.35109,0.94028,0.95976,0.97314,0.98347,0.94374,0.31139,0.25098,0.85021,0.00054875,0.00054875,0.00054875
172,1891.13,0.34813,0.32512,0.92767,0.97305,0.96571,0.98346,0.94171,0.30503,0.24722,0.85179,0.000544625,0.000544625,0.000544625
173,1900.79,0.34694,0.33573,0.94277,0.97209,0.97094,0.98923,0.95639,0.29681,0.24343,0.84203,0.0005405,0.0005405,0.0005405
174,1912.29,0.36085,0.3339,0.93623,0.98545,0.95738,0.98906,0.95216,0.30104,0.24864,0.84807,0.000536375,0.000536375,0.000536375
175,1923.78,0.34222,0.32437,0.93653,0.96538,0.98124,0.984,0.94872,0.29673,0.25539,0.84782,0.00053225,0.00053225,0.00053225
176,1933.14,0.34739,0.32276,0.94552,0.98406,0.94897,0.98697,0.95205,0.29721,0.26086,0.8573,0.000528125,0.000528125,0.000528125
177,1945.15,0.35492,0.32694,0.92911,0.987,0.95258,0.98561,0.94908,0.29312,0.26502,0.85093,0.000524,0.000524,0.000524
178,1957.53,0.33036,0.31155,0.92574,0.98948,0.98117,0.98655,0.9498,0.30165,0.24439,0.85832,0.000519875,0.000519875,0.000519875
179,1968.47,0.35378,0.34698,0.95255,0.97276,0.95897,0.98764,0.95622,0.29433,0.25557,0.84629,0.00051575,0.00051575,0.00051575
180,1980.51,0.33585,0.33205,0.92625,0.94325,0.98468,0.99046,0.9606,0.29114,0.26047,0.84031,0.000511625,0.000511625,0.000511625
181,1990.69,0.34269,0.32995,0.9338,0.95051,0.95405,0.98961,0.95557,0.2909,0.28153,0.84058,0.0005075,0.0005075,0.0005075
